Instrution,Output
Extremophiles ဆိုတာ ဘာလဲ ရှင်းပြပါ,Extremophiles သည် အလွန်အမင်း ပူသော၊ အေးသော၊ အက်ဆစ်ဓာတ်များသော၊ သို့မဟုတ် ဖိအားမြင့်မားသော စသည့် ပြင်းထန်သော ပတ်ဝန်းကျင်အခြေအနေများတွင် ရှင်သန်နိုင်သော အဏုဇီဝသက်ရှိများ ဖြစ်သည်။ ၎င်းတို့ကို စက်မှုလုပ်ငန်းများ နှင့် ဇီဝနည်းပညာတွင် အသုံးချနိုင်သည်။
Mycorrhizae ၏ အရေးပါပုံကို ဖော်ပြပါ,Mycorrhizae သည် မှိုများနှင့် အပင်အမြစ်များကြား အပြန်အလှန် အကျိုးပြု ဆက်နွယ်မှု ဖြစ်သည်။ ဤဆက်နွယ်မှုကြောင့် အပင်များသည် ရေနှင့် တွင်းထွက်ဓာတ်များကို ပိုမိုစုပ်ယူနိုင်ပြီး၊ မှိုများကသည် အပင်များမှ ကာဗွန်ဓာတ်ကို ရရှိသည်။ ၎င်းသည် သဘာ

Gram staining ဆိုတာ ဘာလဲ?,Gram staining သည် ဘက်တီးရီးယားများကို ၎င်းတို့၏ ဆဲလ်နံရံဖွဲ့စည်းပုံပေါ် မူတည်၍ Gram-positive နှင့် Gram-negative ဟူ၍ ခွဲခြားသည့် နည်းလမ်းဖြစ်သည်။ Gram-positive ဘက်တီးရီးယားများသည် ခရမ်းရောင်၊ Gram-negative များသည် ပန်းရောင်ဖြစ်လာသည်။
Facultative anaerobe ဆိုသည်မှာ အဘယ်နည်း?,Facultative anaerobe များသည် အောက်စီဂျင်ရှိသည့် အခြေအနေနှင့် မရှိသည့်အခြေအနေ နှစ်မျိုးစလုံးတွင် ကြီးထွားနိုင်သော ဘက်တီးရီးယားများဖြစ်သည်။ ၎င်းတို့သည် အောက်စီဂျင်ရှိပါက aerobic respiration ကို အသုံးပြုပြီး၊ မရှိပါက fermentation သို့ ပြောင်းလဲနိုင်သည်။
Peptidoglycan ၏ အခန်းကဏ္ဍကို ရှင်းပြပါ။,Peptidoglycan သည် ဘက်တီးရီးယားဆဲလ်နံရံ၏ အဓိကအစိတ်အပိုင်းဖြစ်သည်။ ၎င်းသည် ဆဲလ်ပုံသဏ္ဍာန်ကို ထိန်းသိမ်းပေးပြီး၊ osmotic pressure ကို ခံနိုင်ရည်ရှိစေသည်။ Gram-positive ဘက်တီးရီးယားများတွင် peptidoglycan လွှာ ပိုထူသည်။
Plasmid ဆိုတာ ဘာလဲ?,Plasmid သည် ဘက်တီးရီးယားဆဲလ်အတွင်းရှိ ပင်မ chromosomal DNA မှ သီးခြားဖြစ်သော သေးငယ်သည့် circular DNA molecule ဖြစ်သည်။ ၎င်းသည် antibiotic resistance genes များ၊ virulence factors များကို သယ်ဆောင်နိုင်ပြီး၊ ဘက်တီးရီးယားအချင်းချင်းကြား ကူးပြောင်းနိုင်သည်။
Flagella တို့၏ လုပ်ဆောင်ချက်ကို ဖော်ပြပါ။,Flagella သည် ဘက်တီးရီးယားများ၏ ရွေ့လျားမှုအတွက် အသုံးပြုသော ဆဲလ်ပြင်ပသို့ ထွက်နေသည့် ကြိုးသဖွယ် အတက်များဖြစ်သည်။ ၎င်းတို့သည် ဘက်တီးရီးယားအား ရေ၊ အာဟာရ သို့မဟုတ် host ဆဲလ်များဆီသို့ ရွှေ့လျားစေနိုင်သည်။
Endospore ဆိုသည်မှာ အဘယ်နည်း?,Endospore သည် အချို့သော ဘက်တီးရီးယားများ (ဥပမာ - Bacillus နှင့် Clostridium genera) က အခြေအနေပေါ်မူတည်ကာ ယာယီပြောင်းလဲနေသည့် ပုံစံဖြစ်သည်။ ၎င်းသည် အပူ၊ ဓာတုပစ္စည်းများနှင့် radiation စသည့် ပတ်ဝန်းကျင်ဖိအားများကို ခံနိုင်ရည်ရှိစေသည်။
Binary fission ကို ရှင်းပြပါ။,Binary fission သည် ဘက်တီးရီးယားများ မျိုးပွားသည့် အဓိကနည်းလမ်းဖြစ်သည်။ ဤဖြစ်စဉ်တွင် မိခင်ဆဲလ်သည် နှစ်ပိုင်းကွဲထွက်ကာ မျိုးရိုးဗီဇတူညီသော သမီးဆဲလ်နှစ်ခု ဖြစ်ပေါ်လာသည်။
Pilus (fimbria) တို့၏ အခန်းကဏ္ဍကို ဖော်ပြပါ။,Pili (သို့) fimbriae သည် ဘက်တီးရီးယားမျက်နှာပြင်ပေါ်ရှိ ပိုမိုတိုတောင်းသော ဆံမျှင်သဖွယ် တွယ်တက်များဖြစ်သည်။ ၎င်းတို့သည် မျက်နှာပြင်များတွင် တွယ်ကပ်ရန်၊ biofilm ဖွဲ့စည်းရန်နှင့် bacterial conjugation အတွက် အသုံးဝင်သည်။
Lipopolysaccharide (LPS) ၏ အရေးပါပုံကို ဆွေးနွေးပါ။,Lipopolysaccharide (LPS) သည် Gram-negative ဘက်တီးရီးယားများ၏ ပြင်ပအလွှာတွင် တွေ့ရသော မော်လီကျူးဖြစ်သည်။ ၎င်းသည် endotoxin အဖြစ် ဆောင်ရွက်ပြီး၊ ပြင်းထန်သော ကိုယ်ခံအားတုံ့ပြန်မှုကို ဖြစ်ပေါ်စေနိုင်သည်။ LPS သည် ဘက်တီးရီးယား၏ structural integrity ကိုလည်း ထိန်းသိမ်းပေးသည်။
Capsule ၏ လုပ်ဆောင်ချက်ကို ရှင်းပြပါ။,Capsule သည် အချို့သော ဘက်တီးရီးယားများ၏ ဆဲလ်နံရံပြင်ပတွင် တွေ့ရသော polysaccharide သို့မဟုတ် protein လွှာဖြစ်သည်။ ၎င်းသည် ဘက်တီးရီးယားအား dehydration မှ ကာကွယ်ပေးပြီး၊ host ၏ immune system မှ phagocytosis ကို ခံရခြင်းမှ ကာကွယ်ပေးသည်။
Quorum sensing ဆိုတာ ဘာလဲ?,Quorum sensing သည် ဘက်တီးရီးယားများက ၎င်းတို့၏ population density ကို စောင့်ကြည့်ရန်နှင့် တုံ့ပြန်ရန် အသုံးပြုသော ဆက်သွယ်ရေးစနစ်ဖြစ်သည်။ ၎င်းသည် chemical signaling molecules များမှတစ်ဆင့် လုပ်ဆောင်ပြီး၊ biofilm formation၊ virulence factor production စသည့် collective behaviors များကို ထိန်းညှိပေးသည်။
Bacterial conjugation ကို ရှင်းပြပါ။,Bacterial conjugation သည် ဘက်တီးရီးယားနှစ်ခုကြား တိုက်ရိုက်ထိတွေ့မှုမှတစ်ဆင့် genetic material လွှဲပြောင်းသည့် ဖြစ်စဉ်ဖြစ်သည်။ Donor ဆဲလ်မှ recipient ဆဲလ်သို့ plasmid သို့မဟုတ် အခြား DNA fragment များ ကူးပြောင်းခြင်းဖြစ်သည်။
Bacterial biofilm ဆိုသည်မှာ အဘယ်နည်း?,Bacterial biofilm သည် မျက်နှာပြင်တစ်ခုပေါ်တွင် ကပ်နေသော ဘက်တီးရီးယားအစုအဝေးဖြစ်ပြီး၊ extracellular polymeric substance (EPS) matrix ဖြင့် ဝန်းရံထားသည်။ Biofilm သည် ဘက်တီးရီးယားများအား antibiotics နှင့် host immune defenses များမှ ကာကွယ်ပေးနိုင်သည်။
Mesophile ဆိုတာ ဘာလဲ?,Mesophile သည် အပူချိန် 20-45°C (68-113°F) အကြားတွင် အကောင်းဆုံး ကြီးထွားနိုင်သော ဘက်တီးရီးယားဖြစ်သည်။ လူသားများတွင် ရောဂါဖြစ်ပေါ်စေသော ဘက်တီးရီးယား အများစုသည် mesophiles များဖြစ်သည်။
Obligate aerobe နှင့် obligate anaerobe တို့၏ ကွာခြားချက်ကို ဖော်ပြပါ။,Obligate aerobe များသည် အောက်စီဂျင်ရှိမှသာ အသက်ရှင်နိုင်ပြီး၊ aerobic respiration ကိုသာ အသုံးပြုသည်။ Obligate anaerobe များမှာ အောက်စီဂျင်ရှိနေပါက သေဆုံးနိုင်ပြီး၊ fermentation သို့မဟုတ် anaerobic respiration ကိုသာ အသုံးပြုသည်။
Bacteriophage ဆိုသည်မှာ အဘယ်နည်း?,Bacteriophage သည် ဘက်တီးရီးယားများကိုသာ ကူးစက်သော ဗိုင်းရပ်စ်အမျိုးအစားဖြစ်သည်။ ၎င်းတို့သည် ဘက်တီးရီးယားဆဲလ်အတွင်း ပွားများပြီး ဘက်တီးရီးယားကို ဖျက်ဆီးနိုင်သည်။ Bacteriophage များကို ဘက်တီးရီးယားရောဂါများ ကုသရန် အလားအလာရှိသော နည်းလမ်းတစ်ခုအဖြစ် လေ့လာနေကြသည်။
Bacterial transduction ကို ရှင်းပြပါ။,Bacterial transduction သည် bacteriophage မှတစ်ဆင့် ဘက်တီးရီးယားတစ်ခုမှ အခြားတစ်ခုသို့ DNA ကူးပြောင်းသည့် ဖြစ်စဉ်ဖြစ်သည်။ Phage က donor ဘက်တီးရီးယားမှ DNA အပိုင်းအစကို recipient ဘက်တီးရီးယားသို့ သယ်ဆောင်ပေးသည်။
Chemotaxis ဆိုတာ ဘာလဲ?,Chemotaxis သည် ဓာတုပစ္စည်းများကို တုံ့ပြန်၍ ဘက်တီးရီးယားများ ရွေ့လျားသည့် ဖြစ်စဉ်ဖြစ်သည်။ ၎င်းသည် ဘက်တီးရီးယားများအား အာဟာရများဆီသို့ ရွေ့လျားစေပြီး အန္တရာယ်ရှိသော ပစ္စည်းများမှ ရှောင်ရှားစေသည်။
Bacterial transformation ကို ဖော်ပြပါ။,Bacterial transformation သည် ပတ်ဝန်းကျင်မှ free DNA ကို ဘက်တီးရီးယားဆဲလ်က စုပ်ယူပြီး ၎င်း၏ genome ထဲသို့ ထည့်သွင်းသည့် ဖြစ်စဉ်ဖြစ်သည်။

Culture medium ဆိုတာ ဘာလဲ ရှင်းပြပါ,Culture medium သည် အဏုဇီဝသက်ရှိများကို စမ်းသပ်ခန်းတွင် မွေးမြူရန် အသုံးပြုသော အာဟာရဓာတ်ပါဝင်သည့် ပစ္စည်း ဖြစ်သည်။ ၎င်းတွင် ဘက်တီးရီးယား၊ မှို၊ နှင့် အခြား microorganisms များ ကြီးထွားရန် လိုအပ်သော ဓာတ်ပစ္စည်းများ ပါဝင်သည်။
Culture medium အမျိုးအစားများကို ဖော်ပြပါ,Culture medium များကို အဓိကအားဖြင့် solid၊ semi-solid နှင့် liquid (broth) ဟူ၍ ခွဲခြားနိုင်သည်။ Solid medium တွင် agar ပါဝင်ပြီး၊ semi-solid တွင် agar အနည်းငယ်သာ ပါဝင်သည်။ Liquid medium တွင် agar မပါဝင်ပါ။
Defined medium နှင့် Complex medium ကွာခြားချက်ကို ရှင်းပြပါ,Defined medium တွင် ပါဝင်သော ဓာတုပစ္စည်းများကို တိကျစွာ သိရှိထားပြီး၊ ပမာဏကိုလည်း သတ်မှတ်ထားသည်။ Complex medium တွင်မူ "အသား" စသည့် သဘာဝထွက်ကုန်များမှ ရရှိသော ဓာတ်ပစ္စည်းများ ပါဝင်သောကြောင့် တိကျသော ပါဝင်ပစ္စည်းများကို မသိရှိနိုင်ပါ။
Selective medium ဆိုတာ ဘာလဲ ရှင်းပြပါ,Selective medium သည် သီးခြား microorganism တစ်မျိုး သို့မဟုတ် အုပ်စုတစ်စု၏ ကြီးထွားမှုကိုသာ ခွင့်ပြုပေးသော culture medium ဖြစ်သည်။ ၎င်းတွင် antibiotics သို့မဟုတ် အခြား ဓာတုပစ္စည်းများ ပါဝင်ပြီး၊ မလိုလားအပ်သော သက်ရှိများ၏ ကြီးထွားမှုကို တားဆီးပေးသည်။
Differential medium ၏ အသုံးဝင်ပုံကို ဖော်ပြပါ,Differential medium သည် microorganism အမျိုးအစားအလိုက် ကွဲပြားသော ပုံသဏ္ဍာန် သို့မဟုတ် အရောင်ဖြင့် ဖော်ပြပေးသော culture medium ဖြစ်သည်။ ၎င်းသည် ဘက်တီးရီးယား အမျိုးအစားများကို လျင်မြန်စွာ ခွဲခြားသတ်မှတ်ရာတွင် အထူးအသုံးဝင်သည်။
Enrichment medium ဆိုတာ ဘာလဲ ရှင်းပြပါ,Enrichment medium သည် နမူနာတစ်ခုအတွင်းရှိ ရှားပါးသော microorganism များ၏ အရေအတွက်ကို တိုးမြှင့်ပေးသော culture medium ဖြစ်သည်။ ၎င်းသည် ရှာဖွေလိုသော microorganism များအတွက် အထူးသင့်လျော်သော ပတ်ဝန်းကျင်ကို ဖန်တီးပေးသည်။
Nutrient agar ၏ ပါဝင်ပစ္စည်းများကို ဖော်ပြပါ,Nutrient agar တွင် အဓိကအားဖြင့် ပါဝင်သော ပစ္စည်းများမှာ - ၁) Peptone၊ ၂) Beef extract သို့မဟုတ် Yeast extract၊ ၃) Sodium chloride၊ ၄) Agar၊ နှင့် ၅) ရေ တို့ဖြစ်သည်။ ၎င်းသည် ဘက်တီးရီးယား အများစုအတွက် လိုအပ်သော အာဟာရဓာတ်များ ပေးစွမ်းနိုင်သည်။
Blood agar ၏ အသုံးဝင်ပုံကို ရှင်းပြပါ,Blood agar သည် ရောဂါဖြစ်ပွားစေနိုင်သော ဘက်တီးရီးယားများကို မွေးမြူရန် နှင့် hemolysis pattern များကို လေ့လာရန် အသုံးပြုသည်။ ၎င်းသည် alpha-hemolysis၊ beta-hemolysis နှင့် gamma-hemolysis တို့ကို ခွဲခြားသတ်မှတ်ရန် အထောက်အကူ ဖြစ်စေသည်။
MacConkey agar ကို မည်သည့် ရည်ရွယ်ချက်ဖြင့် အသုံးပြုသနည်း,MacConkey agar ကို Gram-negative ဘက်တီးရီးယားများကို ခွဲခြားသတ်မှတ်ရန် အသုံးပြုသည်။ ၎င်းသည် lactose-fermenting နှင့် non-lactose-fermenting ဘက်တီးရီးယားများကို ခွဲခြားပေးပြီး၊ အထူးသဖြင့် Enterobacteriaceae မိသားစုဝင် ဘက်တီးရီးယားများကို စစ်ဆေးရာတွင် အသုံးဝင်သည်။
Minimal medium ဆိုတာ ဘာလဲ ရှင်းပြပါ,Minimal medium သည် microorganism တစ်မျိုး ကြီးထွားရန် လိုအပ်သော အနည်းဆုံး အာဟာရဓာတ်များသာ ပါဝင်သော culture medium ဖြစ်သည်။ ၎င်းတွင် ကာဗွန်ရင်းမြစ်၊ နိုက်ထရိုဂျင်ရင်းမြစ်၊ နှင့် လိုအပ်သော သတ္တုဓာတ်များသာ ပါဝင်သည်။ ဤ medium ကို metabolic studies များတွင် အသုံးများသည်။
Thioglycollate medium ၏ အသုံးဝင်ပုံကို ရှင်းပြပါ,Thioglycollate medium သည် aerobic၊ microaerophilic နှင့် anaerobic ဘက်တီးရီးယားများကို တစ်ပြိုင်နက် မွေးမြူရန် အသုံးပြုသည်။ ၎င်းသည် oxygen gradient ကို ဖန်တီးပေးပြီး၊ ဘက်တီးရီးယားများ၏ oxygen လိုအပ်ချက်ကို လေ့လာရာတွင် အထောက်အကူ ဖြစ်စေသည်။
Lowenstein-Jensen medium ကို မည်သည့် ရည်ရွယ်ချက်ဖြင့် အသုံးပြုသနည်း,Lowenstein-Jensen medium ကို Mycobacterium tuberculosis နှင့် အခြား mycobacteria များကို မွေးမြူရန် အသုံးပြုသည်။ ၎င်းသည် ကြက်ဥ၊ glycerol နှင့် အခြား nutrients များ ပါဝင်ပြီး၊ တီဘီရောဂါ ရှာဖွေရေးတွင် အရေးပါသော အခန်းကဏ္ဍမှ ပါဝင်သည်။
Chocolate agar ဆိုတာ ဘာလဲ ရှင်းပြပါ,Chocolate agar သည် blood agar ကို အပူပေးထားသော ပုံစံ ဖြစ်သည်။ အပူပေးခြင်းကြောင့် သွေးနီဥများ ပေါက်ကွဲပြီး၊ hemoglobin နှင့် အခြား growth factors များ ထွက်လာသည်။ ၎င်းသည် Haemophilus influenzae နှင့် Neisseria ကဲ့သို့သော fastidious ဘက်တီးရီးယားများ မွေးမြူရန် အသုံးဝင်သည်။
Sabouraud Dextrose Agar (SDA) ၏ အသုံးဝင်ပုံကို ရှင်းပြပါ,Sabouraud Dextrose Agar (SDA) သည် မှိုများ နှင့် yeast များကို မွေးမြူရန် အသုံးပြုသော culture medium ဖြစ်သည်။ ၎င်း၏ pH သည် အနည်းငယ် အက်ဆစ်ဓာတ်ရှိပြီး၊ ဘက်တီးရီးယားများ၏ ကြီးထွားမှုကို ကန့်သတ်ပေးသည်။ SDA သည် ရောဂါဖြစ်ပွားစေနိုင်သော မှိုများကို ရှာဖွေရာတွင် အရေးပါသည်။
Transport medium ဆိုတာ ဘာလဲ ရှင်းပြပါ,Transport medium သည် နမူနာကောက်ယူသည့်နေရာမှ ဓာတ်ခွဲခန်းသို့ microorganism များကို သယ်ဆောင်ရာတွင် အသုံးပြုသော culture medium ဖြစ်သည်။ ၎င်းသည် microorganism များကို အသက်ရှင်စေသော်လည်း၊ ပွားခြင်းကို မဖြစ်စေပါ။ Stuart's medium နှင့် Amies medium တို့သည် ထင်ရှားသော transport media များ ဖြစ်သည်။
Anaerobic culture medium ၏ အထူးလက္ခဏာများကို ဖော်ပြပါ,Anaerobic culture medium သည် oxygen မရှိသော ပတ်ဝန်းကျင်တွင် ကြီးထွားသော ဘက်တီးရီးယားများအတွက် ဒီဇိုင်းပြုလုပ်ထားသည်။ ၎င်းတွင် reducing agents များ ပါဝင်ပြီး၊ oxygen ကို ဖယ်ရှားပေးသည်။ Thioglycollate broth နှင့် Brucella agar တို့သည် နမူနာ anaerobic media များ ဖြစ်သည်။
Liquid culture medium ၏ အားသာချက်များကို ဖော်ပြပါ,Liquid culture medium (broth) ၏ အားသာချက်များမှာ - ၁) ပိုမိုမြန်ဆန်စွာ ကြီးထွားစေခြင်း၊ ၂) ဆဲလ်အရေအတွက် ပိုများခြင်း၊ ၃) metabolites ထုတ်လုပ်မှု ပိုကောင်းခြင်း၊ ၄) ရောစပ်ရ လွယ်ကူခြင်း၊ နှင့် ၅) အချို့သော microorganism များအတွက် ပိုမို သင့်လျော်ခြင်း တို့ဖြစ်သည်။

pasteurization အကြောင်း ရှင်းပြပါ။,pasteurization သည် အစားအစာနှင့် အရည်များကို အပူပေးခြင်းဖြင့် ရောဂါဖြစ်စေသော ဘက်တီးရီးယားများကို သတ်ပစ်သည့် နည်းလမ်းဖြစ်သည်။
pasteurization ၏ အဓိက ရည်ရွယ်ချက်များကို ဖော်ပြပါ။,အစားအစာ ဘေးကင်းလုံခြုံမှု တိုးမြှင့်ရန်၊ သိုလှောင်သက်တမ်း ကြာရှည်စေရန်နှင့် အရသာ ထိန်းသိမ်းရန် ဖြစ်သည်။
pasteurization process ၏ အဆင့်များကို ဖော်ပြပါ။,1. အစားအစာကို အပူပေးခြင်း 2. သတ်မှတ်ထားသော အပူချိန်တွင် ထိန်းသိမ်းခြင်း 3. လျင်မြန်စွာ အအေးခံခြင်း 4. သန့်စင်သော ပုံးများတွင် ထည့်သွင်းခြင်း
နို့ pasteurization အတွက် ပုံမှန်အသုံးပြုသော အပူချိန်နှင့် အချိန်ကာလကို ဖော်ပြပါ။,63°C တွင် 30 မိနစ် (low-temperature long-time method) သို့မဟုတ် 72°C တွင် 15 စက္ကန့် (high-temperature short-time method)
pasteurization နှင့် sterilization တို့၏ ကွာခြားချက်ကို ရှင်းပြပါ။,Pasteurization သည် ရောဂါဖြစ်စေသော ဘက်တီးရီးယားအများစုကို သတ်ပစ်သော်လည်း sterilization သည် ဘက်တီးရီးယားအားလုံးကို ဖယ်ရှားပစ်သည်။
pasteurization ၏ အားနည်းချက်များကို ဖော်ပြပါ။,အချို့သော အာဟာရဓာတ်များ ဆုံးရှုံးနိုင်ခြင်း၊ အရသာပြောင်းလဲနိုင်ခြင်းနှင့် စွမ်းအင်သုံးစွဲမှု မြင့်မားခြင်းတို့ ဖြစ်သည်။
pasteurization မပြုလုပ်မီ နို့တွင် ပါဝင်သော ဘက်တီးရီးယားအမျိုးအစားများကို ဖော်ပြပါ။,Lactobacilli၊ Streptococci၊ Staphylococci နှင့် Coliform ဘက်တီးရီးယားများ ပါဝင်နိုင်သည်။
UHT (Ultra-High Temperature) pasteurization ဆိုသည်မှာ အဘယ်နည်း။,UHT သည် နို့ကို အလွန်မြင့်မားသော အပူချိန် (135-150°C) တွင် 1-2 စက္ကန့်ကြာ အပူပေးသည့် နည်းလမ်းဖြစ်သည်။
pasteurization ကို မည်သည့်အစားအစာများတွင် အသုံးပြုသနည်း။,နို့၊ ဘီယာ၊ သစ်သီးဖျော်ရည်၊ ပျားရည်နှင့် အခြားအရည်အမျိုးမျိုးတွင် အသုံးပြုသည်။
pasteurization process ကို မည်သူက တီထွင်ခဲ့သနည်း။,ပြင်သစ် သိပ္ပံပညာရှင် Louis Pasteur က 19 ရာစုတွင် တီထွင်ခဲ့သည်။
